EquipID,License#,Year,Make,Model,Description,Dept,InServiceDate,InServiceCost,Estimated Replacement Year
15712,31803D,2001,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,11-Oct-00,$296462.96,2008
15723,57766D,2001,PETERBILT,320,TRUCK - EDUCTOR - VACTOR,SPU,10-Dec-01,$304390.01,2009
15953,34184D,2001,TRAILMAX,TD-54-T,TRAILER - TILT DECK - 54480 LB GVWR,DPR,03-Jul-01,$29889.82,2016
16404,34461D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,09-Nov-01,$149248.57,2010
16406,34486D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,05-Dec-01,$149248.57,2010
16407,34487D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,10-Dec-01,$151564.68,2010
16408,34493D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,20-Dec-01,$149248.57,2010
16409,34811D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,20-Dec-01,$151669.71,2010
16410,34492D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,20-Dec-01,$149248.57,2010
16411,34500D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,28-Jan-02,$150693.53,2016
16412,34824D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,28-Jan-02,$148778.57,2011
16413,34817D,2001,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,24-Jan-02,$149248.57,2011
16529,34448D,2001,TRAILMAX,TD-40-T,TRAILER - TILT DECK - 37000 LB GVWR,SPU,18-Oct-01,$19801.59,2013
16531,34450D,2001,TRAILMAX,TD-40-T,TRAILER - TILT DECK - 37000 LB GVWR,SPU,18-Oct-01,$19801.59,2013
16535,,2001,HYSTER,E35FR,FORKLIFT - 3500 LB LIFT,SPU,12-Jun-01,$30339.42,2011
16616,34925D,2001,LOAD KING,503 DFM 2000,TRAILER - LOWBOY - 100000 LB GVWR,SPU,20-Feb-02,$64736.00,2017
16647,31875D,2001,TRAILMAX,TD-40-T,TRAILER - TILT DECK - 37000 LB GVWR,SPU,19-Jan-01,$19765.20,2013
16648,31876D,2001,TRAILMAX,TD-40-T,TRAILER - TILT DECK - 37000 LB GVWR,SPU,19-Jan-01,$19765.20,2013
16649,31877D,2001,TRAILMAX,TD-40-T,TRAILER - TILT DECK - 37000 LB GVWR,SPU,19-Jan-01,$19765.20,2013
17008,,2001,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT,SDOT,20-Feb-02,$36645.21,2022
17016,,2001,HYSTER,E35FR,FORKLIFT - 3500 LB LIFT,SPU,13-Jun-01,$30170.78,2021
17125,,2001,HYSTER,J50XM2,FORKLIFT - 5000 LB LIFT,DPR,24-Jan-02,$34887.12,2022
17221,,2001,CATERPILLAR,CB-224D,ROLLER - 3 TON DOUBLE DRUM,SDOT,14-Sep-01,$31513.05,2017
17223,,2001,CATERPILLAR,CB-224D,ROLLER - 3 TON DOUBLE DRUM,SDOT,14-Sep-01,$31513.05,2017
17224,,2001,CATERPILLAR,CB-224D,ROLLER - 3 TON DOUBLE DRUM,SDOT,14-Sep-01,$31513.05,2017
17386,34835D,2001,KUBOTA,KJT27FSW,GENERATOR - TRAILER MOUNTED 20KW,SFD,29-Jan-02,$22268.07,2022
21838,59350D,2002,DODGE,NEON,SUBCOMPACT SEDAN,DPR,23-May-02,$11976.52,2012
23164,35692D,2002,CHEVROLET,ASTRO,PASSENGER MINIVAN,SPD,09-Oct-02,$30050.27,2012
23216,35743D,2002,CHEVROLET,ASTRO,PRISONER MINIVAN,SPD,30-Jul-03,$39520.74,2013
23328,35766D,2002,CHEVROLET,EXPRESS,CARGO VAN - ELECTRICIAN,DPR,02-Sep-02,$27726.26,2012
23470,36207D,2002,FREIGHTLINER,MT55,SOLID WASTE WALKIN VAN - CLASS 6,SPU,21-Mar-03,$103779.62,2013
23471,36349D,2002,FREIGHTLINER,MT55,WALKIN VAN - CLASS 6,SPU,18-Mar-03,$140834.00,2013
23593,35698D,2002,CHEVROLET,ASTRO,CARGO MINIVAN,SDOT,31-Oct-02,$29012.35,2011
23783,36061D,2002,CHEVROLET,EXPRESS,VAN PASSENGER,SPD,01-May-03,$28801.40,2013
23939,36032D,2002,CHEVROLET,ASTRO,PASSENGER MINIVAN,DPR,05-Aug-02,$21254.37,2012
24677,36221D,2002,FREIGHTLINER,MT55,WALKIN VAN - CLASS 6,SPU,07-Apr-03,$121852.75,2013
25086,36337D,2002,GMC,T6500,TRUCK - MOVING - CLASS 6,FAS,27-Feb-03,$91098.71,2015
25351,36268D,2002,EMERGENCY ONE,TYPHOON,TRUCK - AIR COMPRESSOR SUPPLY,SFD,24-Mar-03,$381653.55,2023
25500,34650D,2002,JOHN DEERE,624H,WHEEL LOADER - 29000 LB,SDOT,14-Jun-02,$122004.28,2017
25501,35649D,2002,JOHN DEERE,624H,WHEEL LOADER - 29000 LB,SDOT,14-Jun-02,$119417.79,2017
25502,35648D,2002,JOHN DEERE,624H,WHEEL LOADER - 29000 LB,SDOT,14-Jun-02,$121705.07,2017
25503,35647D,2002,JOHN DEERE,624H,WHEEL LOADER - 29000 LB,SDOT,14-Jun-02,$121268.72,2017
25511,36377D,2002,PETERBILT,330,TRUCK - DUMPING FLATBED - CLASS 6,SDOT,27-Mar-03,$98927.19,2015
25573,36072D,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,19-Feb-03,$131455.49,2015
25587,36376D,2002,PETERBILT,330,TRUCK - DUMPING FLATBED CRANE CLASS 6,SDOT,04-Apr-03,$97191.18,2015
25588,36381D,2002,PETERBILT,330,TRUCK - DUMPING FLATBED - CLASS 6,SDOT,04-Apr-03,$96155.49,2015
25589,36378D,2002,PETERBILT,330,TRUCK - DUMPING FLATBED - CLASS 6,SDOT,04-Apr-03,$95917.62,2015
25597,39788D,2002,PETERBILT,330,TRUCK TENCO DUMP PLOW SPREADER,SDOT,30-Sep-03,$162246.69,2015
25598,56110D,2002,PETERBILT,330,TRUCK TENCO DUMP PLOW SPREADER,SDOT,02-Oct-03,$161969.85,2015
25599,50813D,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,18-Oct-04,$139591.99,2016
25601,39935D,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,18-Oct-04,$144047.79,2016
25602,39951D,2002,PETERBILT,330,TRUCK - DUMP - SANDER - PLOW - CLASS 6,SDOT,18-Oct-04,$139310.93,2016
25692,36313D,2002,PETERBILT,330,TRUCK - AERIAL LIFT - CLASS 8,SDOT,12-Mar-03,$229742.72,2017
25873,34931D,2002,PETERBILT,330,TRUCK - DUMP - CLASS 7,DPR,01-Jun-02,$97004.45,2014
25887,34924D,2002,PETERBILT,330,TRUCK - REFUSE PACKER - CLASS 8,DPR,27-Feb-02,$103824.88,2009
26414,34855D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,05-Feb-02,$152145.88,2016
26415,34854D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,31-Jan-02,$150956.73,2011
26416,34935D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,28-Feb-02,$150956.74,2011
26418,34936D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,07-Mar-02,$153215.13,2014
26419,34941D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,02-Apr-02,$152948.42,2016
26420,34966D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,23-Apr-02,$152598.97,2016
26421,35046D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,05-Apr-02,$153040.07,2016
26422,35045D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,08-Apr-02,$150956.73,2011
26423,35089D,2002,GMC,T8500,TRUCK - SERVICE BODY - CLASS 8,SPU,30-Apr-02,$153179.53,2011
26541,35688D,2002,CATERPILLAR,938G,WHEEL LOADER - 29000 LB,SPU,25-Jun-02,$162231.67,2017
26553,35637D,2002,PETERBILT,330,TRUCK - 5 YD DUMP - CLASS 7,SPU,07-Jun-02,$115122.86,2014
26654,35761D,2002,TRAILMAX,TRD-54-T,TRAILER - 55000 LB GVWR,SPU,25-Jun-02,$34244.80,2014
27228,35638D,2002,PREMCO,TRIPLE L,TRAILER - HYDRAULIC LIFT - 7000 LB GVWR,SDOT,30-May-02,$9721.79,2017
27229,35641D,2002,PREMCO,TRIPLE L,TRAILER - HYDRAULIC LIFT - 7000 LB GVWR,SDOT,04-Jun-02,$10107.73,2017
27230,35639D,2002,PREMCO,TRIPLE L,TRAILER - HYDRAULIC LIFT - 7000 LB GVWR,SDOT,04-Jun-02,$9233.43,2017
30103,51534D,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,04-Jun-10,$41563.69,2015
30105,51562D,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,01-Oct-10,$39288.78,2015
30106,51548D,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,01-Jul-10,$37273.22,2015
30109,51546D,2010,FORD,CROWN VICTORIA,PATROL CAR,SPD,21-Sep-10,$37068.22,2015
3024,05793D,1988,GMC,P30,WALKIN VAN - CLASS 4,SPD,13-Jun-89,$34117.00,1999
30850,51367D,2010,FORD,F150,PICKUP,SPU,01-Jan-10,$29784.57,2020
30851,51381D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,09-Nov-09,$10983.18,2024
30852,51379D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,09-Nov-09,$11319.75,2024
30853,50805D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,SDOT,09-Feb-10,$12385.61,2025
30854,51380D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,09-Nov-09,$11071.38,2024
30855,51376D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,10-Nov-09,$11394.78,2024
30856,51375D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,09-Nov-09,$10492.11,2024
30857,51377D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,10-Nov-09,$10497.01,2024
30858,51378D,2009,FELLING,FT-71T,TRAILER - 7000 LB GVWR,DPR,10-Nov-09,$10364.70,2024
30859,51374D,2009,TRAILMAX,TT-10,TRAILER - TILT DECK - 10000 LB GVWR,SDOT,10-Nov-09,$10362.59,2024
30860,51373D,2009,TRAILMAX,TT-10,TRAILER - TILT DECK - 10000 LB GVWR,SDOT,09-Nov-09,$10288.14,2024
30861,51368D,2009,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,02-Dec-09,$29318.05,2015
30862,47990D,2009,PIERCE,ARROW-XT,FIRE AERIAL - TRACTOR DRAWN,SFD,01-Mar-10,$1040708.86,2027
30863,51372D,2009,TRAILKING,TKT40LP,TRAILER - 46000 LB GVWR,SDOT,10-Nov-09,$33397.69,2024
30864,51404D,2009,JOHN DEERE,772G,MOTOR GRADER - ARTICULATED - 37000 LB,SPU,15-Dec-09,$0.00,2021
30865,51393D,2009,TRIVAN,CREW TRAILER,CREW TRAILER,SPU,23-Dec-09,$104000.00,2024
30866,51422D,2010,FORD,CROWN VICTORIA,FULLSIZE SEDAN,SPD,04-Mar-10,$34911.83,2017
30867,51421D,2010,FORD,CROWN VICTORIA,FULLSIZE SEDAN,SPD,04-Mar-10,$33716.39,2017
30868,,2009,JOHN DEERE,GATOR,UTILITY VEHICLE 4 WHEEL,DPR,12-Nov-09,$20683.52,2016
30869,,2009,JOHN DEERE,850D XUV,UTILITY VEHICLE 4 WHEEL,DPR,12-Nov-09,$23053.16,2016
30870,54141D,2010,CHEVROLET,COLORADO,COMPACT PICKUP,FAS,04-Dec-09,$27320.45,2019
30871,51382D,2010,CHEVROLET,COLORADO,COMPACT PICKUP,SPD,04-Dec-09,$28833.72,2019
30872,50872D,2011,FORD,F350,PICKUP - FLATBED - CLASS 4,SDOT,01-Feb-11,$67159.08,2021
30873,50873D,2011,FORD,F350,PICKUP - FLATBED - CLASS 4,SDOT,01-Feb-11,$68279.99,2021
30874,51396D,2010,FORD,F350,PICKUP - FLATBED - CLASS 4,DPR,09-Mar-10,$41957.47,2020
30875,51397D,2010,FORD,F450,PICKUP - FLATBED - CLASS 4,DPR,05-Apr-10,$52741.93,2022
30876,51419D,2010,FORD,F350,PICKUP - FLATBED - CLASS 4,DPR,08-Mar-10,$42455.32,2020
30877,51567D,2010,FORD,F550,TRUCK - FLATBED - WELDER - CRANE,DPR,16-Jul-10,$82607.89,2022
30878,51424D,2010,FORD,F550,TRUCK - FLATBED - CLASS 5,SDOT,01-Mar-10,$70809.19,2022
30879,51407D,2010,FORD,F550,TRUCK - DUMPING FLATBED - CLASS 5,SDOT,09-Feb-10,$74099.92,2022
30880,514090D,2010,FORD,F550,TRUCK - FLATBED - WELDER - CLASS 5,SDOT,22-Apr-10,$115824.06,2022
30881,51425D,2010,FORD,F450,PICKUP - PAINT SUPPORT BODY - CLASS 4,SDOT,06-Apr-10,$65952.89,2025
30882,51400D,2010,PETERBILT,335,TRUCK - POTHOLE PATCH - PLOW - CLASS 7,SDOT,04-Mar-10,$308732.08,2020
30883,51399D,2010,PETERBILT,335,TRUCK - POTHOLE PATCH - PLOW - CLASS 7,SDOT,04-Mar-10,$307103.56,2020
30884,51401D,2009,TEREX,AL4000,LIGHT TOWER - TRAILER MOUNTED,SDOT,05-Feb-10,$10403.73,2030
30885,51402D,2009,TEREX,AL4000,LIGHT TOWER - TRAILER MOUNTED,SDOT,05-Feb-10,$10025.92,2030
30886,47992D,2009,EMERGENCY ONE,PUMPER,FIRE PUMPER,SFD,01-Mar-10,$551890.79,2028
30887,51403D,2009,MACK,GU713,TRUCK - 12 YD DUMP - CLASS 8,SPU,02-Feb-10,$0.00,2020
30888,,2009,TORO,SAND PRO 5040,BALLFIELD GROOMER,DPR,16-Nov-09,$31435.87,2019
30889,51414D,2010,FORD,F250,PICKUP - 4X4,SCL,03-Feb-10,$38952.18,2020
30890,51415D,2010,FORD,F250,PICKUP - 4X4,SCL,03-Feb-10,$39570.82,2020
30891,51441D,2010,FORD,TRANSIT CONNECT,MINIVAN PASSENGER,SCL,05-Apr-10,$26438.23,2020
30892,51442D,2010,FORD,TRANSIT CONNECT,MINIVAN PASSENGER,SCL,05-Apr-10,$25783.89,2020
30893,51440D,2010,FORD,TRANSIT CONNECT,MINIVAN PASSENGER,SCL,06-Apr-10,$25426.48,2020
30894,27228D,2010,FORD,TRANSIT CONNECT,MINIVAN PASSENGER,SCL,20-Apr-10,$26024.08,2020
30895,,2010,TORO,HDX-D-4WD,UTILITY VEHICLE W/  TRAILER AND BLADE,DPR,04-Oct-10,$42248.36,2017
30896,51371D,2009,TORO,328-D 4WD,"MOWER - 72"" ROTARY",CEN,01-Nov-09,$24144.98,2017
30897,51364D,2010,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - 4X4,SPU,03-Feb-10,$30619.69,2020
30898,51363D,2010,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,18-Feb-10,$27582.91,2020
30899,51362D,2010,CHEVROLET,COLORADO 4X4,COMPACT PICKUP - CREW CAB - 4X4,SPU,01-Feb-10,$28322.44,2020
30900,51385D,2009,FORD,F550,TRUCK - FLATBED - SANDER - PLOW,SDOT,10-Dec-09,$84126.68,2021
30901,51398D,2010,PETERBILT,367,TRUCK - UNDERBRIDGE INSPECTION - CLASS 8,SDOT,14-Apr-10,$762744.64,2029
30902,56144D,2010,PETERBILT,367,TRUCK - 12 YD DUMP - CLASS 8,SDOT,10-Dec-09,$191774.63,2021
30903,51559D,2010,FORD,F550,TRUCK SEWER RODDER,SPU,03-Jun-10,$0.00,2022
30904,51353D,2010,PETERBILT,340,TRUCK - EDUCTOR - VAC CON,SPU,01-Dec-09,$364711.15,2017
30905,51354D,2010,PETERBILT,340,TRUCK - EDUCTOR - VAC CON,SPU,01-Dec-09,$364711.15,2017
30907,51423D,2010,FORD,F150,PICKUP,DPR,08-Mar-10,$31677.77,2020
30908,51387D,2010,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,02-Dec-09,$25788.28,2019
30909,51450D,2010,PETERBILT,330,TRUCK - DUMP - CLASS 6,DPR,05-May-10,$129989.33,2025
30910,50690D,2010,FORD,F250,PICKUP - 4X4,SPU,10-Dec-09,$46268.09,2015
30911,50692D,2010,FORD,F250,PICKUP - 4X4,SPU,01-Jan-10,$47850.85,2020
30912,51350D,2010,FORD,F250,PICKUP - 4X4,SPU,08-Feb-10,$42476.92,2020
30913,58541D,2010,PETERBILT,320,TRUCK - ASPHALT DISTRIBUTOR - CLASSS 8,SDOT,01-Jul-10,$234790.61,2022
30914,51386D,2010,FORD,F350,PICKUP - SERVICE BODY,SPU,01-Feb-10,$48101.15,2020
30915,51360D,2009,FORD,ESCAPE HYBRID,COMPACT SUV - HYBRID - 4X4,SPU,01-Jan-10,$34653.55,2020
30916,51361D,2009,FORD,ESCAPE HYBRID,COMPACT SUV - HYBRID - 4X4,DOIT,02-Dec-09,$34365.94,2019
30917,50691D,2010,FORD,F250,PICKUP - 4X4,SPU,01-Jan-10,$42276.23,2020
30918,51359D,2010,FORD,F150,PICKUP - CREW CAB - 4X4,SPU,03-Feb-10,$38508.55,2020
30919,50684D,2010,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,14-Dec-09,$59349.40,2019
30920,50683D,2010,FORD,F450,PICKUP - FLATBED - CLASS 4,SDOT,01-Jan-10,$59749.40,2020
30921,50682D,2010,FORD,F550,TRUCK - FLATBED - CLASS 5,SDOT,01-Feb-10,$64782.72,2022
30922,51426D,2010,FORD,F350,PICKUP - DUMPING FLATBED,SDOT,04-Mar-10,$55797.83,2020
30923,51406D,2010,FORD,F350,PICKUP - FLATBED - CLASS 4,SDOT,01-Feb-10,$51593.79,2020
30924,51420D,2010,FORD,F350,PICKUP - FLATBED - CLASS 4,SDOT,16-Feb-10,$56006.05,2020
30925,50834D,2010,FORD,TRANSIT CONNECT,MINIVAN CARGO,DPR,01-Feb-11,$33434.37,2021
30926,50833D,2010,FORD,TRANSIT CONNECT,MINIVAN CARGO,DPR,10-Jan-11,$35588.65,2021
30927,51481D,2010,FORD,TRANSIT CONNECT,MINIVAN PASSENGER,SPU,22-Jun-10,$28241.16,2020
30928,50288D,2010,TOYOTA,CAMRY,MIDSIZE SEDAN - HYBRID,SPD,01-Jul-09,$33626.63,2019
30929,51389D,2010,CHEVROLET,COLORADO,PICKUP COMPACT,DPR,01-Mar-10,$23372.41,2020
30930,51388D,2010,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,01-Jan-10,$19648.00,2020
30931,51391D,2010,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,01-Feb-10,$19310.47,2020
30932,51428D,2010,FORD,E350,PASSENGER VAN,DPR,30-Mar-10,$25954.46,2020
30933,51390D,2010,CHEVROLET,COLORADO,COMPACT PICKUP,DPR,08-Mar-10,$34254.67,2020
30934,51560D,2010,FORD,F550,TRUCK - FLATBED - SANDER - PLOW,SDOT,01-Jun-10,$80064.85,2022
30935,2589EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Feb-10,$37425.69,2017
30936,2591EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Feb-10,$36103.33,2017
30937,2588EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Feb-10,$38091.08,2017
30938,2590EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Feb-10,$34534.19,2017
30939,51447D,2010,FORD,E350,CARGO VAN - DIESEL,DPR,02-Feb-11,$41643.08,2021
30940,57707D,2010,PIERCE,ARROW-XT,FIRE AERIAL - TRACTOR DRAWN,SFD,01-Sep-10,$1071935.22,2028
30941,50849D,2010,EMERGENCY ONE,PUMPER,FIRE PUMPER,SFD,01-Nov-10,$569636.43,2028
30942,51484D,2009,DODGE,SPRINTER,CARGO VAN - 9990 GVWR,DPR,27-Aug-10,$66801.98,2020
30943,51395D,2008,DODGE,SPRINTER,CARGO VAN - SPRINTER,SPD,06-May-10,$72274.80,2022
30944,51394D,2010,FORD,F550,TRUCK - AERIAL LIFT - 42` ALTEC - 4X4,DPR,01-Feb-10,$99743.75,2024
30945,2595EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,04-Mar-10,$34820.47,2017
30946,2594EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Mar-10,$34504.67,2017
30947,2593EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-May-10,$34277.17,2017
30948,2592EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Apr-10,$34105.46,2017
30949,2597EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-Apr-10,$34645.73,2017
30950,2610EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,02-Apr-10,$34484.65,2017
30951,2611EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,20-Apr-10,$34118.86,2017
30952,2596EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,20-Apr-10,$33696.35,2017
30953,2609EX,2010,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,01-May-10,$34734.67,2017
30954,52103D,2010,FELLING,FT-50-3T,TRAILER - 50000 GVWR,SPU,09-Aug-10,$0.00,2025
30955,,2010,TOYOTA,8FGU30,FORKLIFT - 6000 LB LIFT,SPD,05-May-10,$29148.89,2030
30956,,2010,TOYOTA,8FGU30,FORKLIFT - 6000 LB LIFT,FAS,05-May-10,$29209.89,2030
30957,,2010,TOYOTA,8FGU30,FORKLIFT - 6000 LB LIFT,FAS,05-May-10,$29209.89,2030
30958,,2010,TOYOTA,8FGU25,FORKLIFT - 5000 LB LIFT,FAS,05-May-10,$27461.86,2030
